Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1813144,GCC393481,GCC40632,10/8.51 XM CAR TRIO SUB400 WM,Co-Pack Finished Good,10000,0,10000,2019-Jun-17 09:00 PM,Open
1813143,GCC393602,GCC40607,12/4oz XM PBK FB SNWM SUB200,Co-Pack Finished Good,16440,0,16440,2019-Jun-30 12:00 AM,Open
1813142,GCC393527,GCC41186,6/14.8oz XM AST SQ SUB550,Co-Pack Finished Good,20485,20485,0,2019-Jun-19 09:00 PM,Closed
1813141,GCC393604,GCC40788,5/8.6oz ASST LG SQ SUB,Co-Pack Finished Good,7000,0,7000,2019-Jul-20 09:00 PM,Open
1813140,GCC393706,GCC41184,12/7.9oz XM AST HOL SUB400,Co-Pack Finished Good,25258,0,25258,2019-Jun-20 12:00 AM,Open
1813139,GCC393640,GCC40890,5/5.32oz DK CAR SQ SUB SRC,Co-Pack Finished Good,5000,0,5000,2019-Jun-14 09:00 PM,Booked
1813138,GCC393790,GCC62557,6/5.85oz MKCAR SUB PDQ (Can),Co-Pack Finished Good,6747,0,6747,2019-Jun-17 09:00 PM,Booked
1813137,GCC393793,GCC62558,6/5.32 DKSSCar SUB PDQ(CAN),Co-Pack Finished Good,5411,0,5411,2019-Jun-17 09:00 PM,Open
1813136,GCC394137,GCC40889,5/5.32oz DK RASP SUB SRC,Co-Pack Finished Good,19000,11249,7751,2019-Jun-12 09:00 PM,Booked
1813134,GCC394373,GCC41270,12/4.1oz XM DUO FB SNWM SUB200,Co-Pack Finished Good,5000,0,5000,2019-Jun-17 09:00 PM,Open
1813133,GCC394371,GCC41013,46/XM ASST BAR SDK WG,Co-Pack Finished Good,3300,1818,1482,2019-Jun-17 09:00 PM,Booked
1813132,GCC394375,GCC41292,120/XM CHK TWR DSPLY CVS,Co-Pack Finished Good,3510,0,3510,2019-Aug-20 09:00 PM,Open
1813131,GCC394376,GCC41293,36/XM BAR WING DSPLY CVS,Co-Pack Finished Good,2500,0,2500,2019-Jun-17 09:00 PM,Open
1813129,GCC394562,GCC40256,12/4.1oz XM MED PBK WIN GIFT,Co-Pack Finished Good,4265,0,4265,2019-Jun-17 09:00 PM,Open
1813128,GCC394641,GCC41235,12/4.6oz XM PBK SUB200,Co-Pack Finished Good,27625,23838,3787,2019-Jun-20 12:00 AM,Booked
1813127,GCC394702,GCC83130,12/80ct SNWFLK ASST FG,Retail Packaging,573,0,573,2019-Jun-14 09:00 PM,Open
1813126,GCC394701,GCC84887,48/Clutch Pbark 19 FG,Co-Pack Finished Good,125,124,1,2019-Jun-19 09:00 PM,Closed
1813125,GCC394728,GCC83413,12/80ct Everyday Asst FG,Retail Packaging,1600,0,1600,2019-Jun-10 09:00 PM,Booked
1813124,GCC394722,GCC84072,12/40ct Assorted FG,Retail Packaging,768,476,292,2019-Jun-19 09:00 PM,Closed
1813123,GCC394720,GCC83786,16/Signature SM Blue Box FG 16,Retail Packaging,60,0,60,2019-Jun-17 09:00 PM,Booked
1813122,GCC394721,GCC84063,12/40ct Milk Choc Caramel FG,Retail Packaging,350,0,350,2019-Jul-14 09:00 PM,Open
1813121,GCC394704,GCC83854,16/Ppmt Brk Keepsake Tin FG 16,Retail Packaging,240,240,0,2019-Jun-14 09:00 PM,Closed
1813120,GCC394705,GCC84636,48/Fall Clutch FG 18,Retail Packaging,74,71,3,2019-Jun-14 09:00 PM,Closed
1813119,GCC394760,GCC84063,12/40ct Milk Choc Caramel FG,Retail Packaging,350,249,101,2019-Jun-14 09:00 PM,Closed
1813118,GCC394759,GCC83785,12/Gold Bar Tin FG 16,Retail Packaging,380,50,330,2019-Jun-14 09:00 PM,Closed
1813117,GCC394741,GCC84669,48/ID Clutch FG,Retail Packaging,28,0,28,2019-Jun-16 09:00 PM,Booked
1813116,GCC394758,GCC83778,12/80ct San Francisco FG 16,Retail Packaging,168,0,168,2019-Jun-14 09:00 PM,Booked
1813114,GCC394756,GCC83499,25/Rd Acte Bx w Gld Bow 15 FG,Retail Packaging,180,0,180,2019-Aug-15 09:00 PM,Open
1813113,GCC394754,GCC82327,24/Wooden Cable Car FG,Retail Packaging,67,0,67,2019-Jun-14 09:00 PM,Booked
1813112,GCC394743,GCC83028,12/80ct Mk &amp; Cml Sqrs Bag FG,Retail Packaging,312,0,312,2019-Jul-14 09:00 PM,Open
1813111,GCC394746,GCC83623,24/CableCar Postcard Tin FG 16,Retail Packaging,40,0,40,2019-Jun-14 09:00 PM,Booked
1813109,GCC394853,GCC41111,10/9oz XM MCAR SUB400 WM,Co-Pack Finished Good,14600,0,14600,2019-Jun-27 09:00 PM,Booked
1813108,GCC394973,GCC40926,280/14/24.6oz ED ASST SUB-710,Co-Pack Finished Good,160,160,0,2019-Jun-10 09:00 PM,Closed
1813107,GCC394887,GCC61491,12/6.38oz RASP SQ SUB,Co-Pack Finished Good,2500,0,2500,2019-Jun-16 09:00 PM,Open
1813106,GCC394761,GCC84072,12/40ct Assorted FG,Retail Packaging,650,0,650,2019-Jun-10 09:00 PM,Open
1813105,GCC395041,GCC40258,12/5.3oz XM MED AST WIN GIFT,Co-Pack Finished Good,3593,1795,1798,2019-Jun-19 09:00 PM,Booked
1813104,GCC395128,GCC40896,3/15.77oz ASST SQ XL SUB SRC,Co-Pack Finished Good,22900,22900,0,2019-Jun-07 05:00 AM,Closed
1813103,GCC395366,GCC41281,280/14/19.14 ED ID ASST SUB710,Co-Pack Finished Good,80,0,80,2019-Jun-16 09:00 PM,Booked
1813102,GCC395359,GCC40605,24/0.67 XM PBK FB SNWM SUB050,Co-Pack Finished Good,2282,0,2282,2019-Jun-16 09:00 PM,Open
1813099,GCC395369,GCC41282,280/14/19.14 ID w/SSS SUB710,Co-Pack Finished Good,80,30,50,2019-Jun-16 09:00 PM,Booked
1813098,GCC395621,GCC62246,6/8.22oz LG SS Coll SUB,Co-Pack Finished Good,3500,0,3500,2019-Jun-16 09:00 PM,Booked
1813097,GCC395372,GCC41283,280/14/15.01 ID ASST SUB600,Co-Pack Finished Good,100,100,0,2019-Jun-16 09:00 PM,Closed
1813096,GCC395800,GCC41091,72/4FL ED MED SUB DSPLY,Co-Pack Finished Good,1100,878,222,2019-Jun-10 09:00 PM,Booked
